time,,user-memcached,,,media-memcached,,,compose-post,,,media-mongodb,,,text-service,,,home-timeline-service,,,unique-id-service,,,url-shorten-service,,,home-timeline-redis,,,user-timeline-mongodb,,,url-shorten-mongodb,,,social-graph-mongodb,,,,jaeger,,social-graph-service,,,user-service,,,url-shorten-memcached,,,user-timeline-service,,,nginx-thrift-,,,post-storage-service,,,social-graph-redis,,,user-mention-service,,,media-service-,,,,post-storage-mongodb,,,user-mongodb,,,user-timeline-redis,,,media-frontend,,post-storage-memcached,,,Total
900,,2.86,,,0,,,92.472,,,0.29196,,,32.704,,,71.4,,,1.8084,,,5.578276,,,6.968,,,0.2732,,,0.2184,,,0.2732,,,,0.936,,4.588380704,,,0.758327165,,,0,,,0.044080905,,,77.2,,,0.673922692,,,16.36786031,,,23.28,,,1.528,,,,0.2732,,,14.58,,,0,,,0,,0,,,355.0772078
915,,2.4028,,,0,,,84.424,,,0.25268,,,26.676,,,68.4,,,1.4536,,,7.478749,,,5.7704,,,0.2956,,,0.2956,,,0.2364,,,,1.0132,,4.588380704,,,0.758327165,,,0,,,0.042846297,,,73.6,,,0.434969816,,,14.85623322,,,18.08,,,1.36,,,,0.2364,,,10.944,,,0,,,0,,0,,,323.6001862
930,,2.4028,,,0,,,84.424,,,0.25268,,,26.676,,,68.4,,,1.4536,,,7.478749,,,5.7704,,,0.2956,,,0.2956,,,0.2364,,,,1.0132,,8.133479414,,,0.466213071,,,0.00577,,,0.042846297,,,73.6,,,0.434969816,,,14.85623322,,,18.08,,,1.36,,,,0.2364,,,10.944,,,0,,,0,,0,,,326.8589408
945,,2.8616,,,0.026112808,,,92.856,,,0.22592,,,32.544,,,64.92,,,1.8068,,,7.300588,,,3.7668,,,0.2116,,,0.2116,,,0.282,,,,0.978,,8.039591122,,,0.43313822,,,0.00577,,,0.04265017,,,80,,,0.275467669,,,18.32632038,,,20.16,,,1.624,,,,0.2116,,,11.232,,,0,,,0,,0,,,348.3415584
960,,2.8616,,,0.026112808,,,92.856,,,0.22592,,,32.544,,,64.92,,,1.8068,,,5.807865,,,3.7668,,,0.2116,,,0.2116,,,0.282,,,,0.978,,8.039591122,,,0.43313822,,,0.00203,,,0.048383296,,,80,,,0.360127037,,,20.9527138,,,20.16,,,1.624,,,,0.2116,,,11.232,,,0,,,0,,0,,,349.5618813
975,,3.3636,,,0.024001414,,,101.568,,,0.12,,,38.092,,,78.84,,,2.1636,,,5.807865,,,4.0836,,,0.2244,,,0.2244,,,0.2244,,,,0,,8.982977993,,,0.971797003,,,0.00203,,,0.048383296,,,74.4,,,0.360127037,,,20.9527138,,,26.56,,,1.792,,,,0.2244,,,15.852,,,0,,,0,,0,,,384.8822955
990,,3.3636,,,0.024001414,,,101.568,,,0.12,,,38.092,,,78.84,,,2.1636,,,6.020353,,,4.0836,,,0.2244,,,0.2244,,,0.2244,,,,0,,8.658256005,,,0.750778681,,,0.00229,,,0.050676787,,,74.4,,,0.501677797,,,29.62895479,,,26.56,,,1.792,,,,0.2244,,,15.852,,,0,,,0,,0,,,393.3693885
1005,,2.1332,,,0.020872332,,,80.896,,,0.30464,,,25.132,,,65.72,,,1.3696,,,5.875704,,,15.828,,,0.428,,,0.1428,,,0.2856,,,,0.30464,,8.658256005,,,0.750778681,,,0.00229,,,0.047684521,,,75.2,,,0.367814361,,,18.77207767,,,16,,,1.284,,,,0.2856,,,9.6,,,0,,,0.00126,,0,,,329.4108176
1020,,2.1332,,,0,,,80.896,,,0.30464,,,25.132,,,65.72,,,1.3696,,,5.875704,,,15.828,,,0.428,,,0.1428,,,0.2856,,,,0.30464,,3.354255504,,,0.398557476,,,0.00178,,,0.047684521,,,75.2,,,0.367814361,,,18.77207767,,,16,,,1.284,,,,0.2856,,,9.6,,,0,,,0.00126,,0,,,323.7332135
1035,,3.2008,,,0,,,96.296,,,0.21324,,,35.424,,,70.96,,,1.9188,,,6.757088,,,5.5548,,,0.1996,,,0.1996,,,0.3996,,,,0.21324,,3.696219462,,,0.756086741,,,0.00178,,,0.04791906,,,77.6,,,0.435981437,,,11.91366335,,,28.36,,,1.596,,,,0.1996,,,19.188,,,0,,,0,,0.000287,,,365.1323051
